Coefficients order=90 center=CT2039:180
Observation time: 2006.02.01_14:17:32
B0 angle & Nmax:        0          90





Max Harmonic Order:90   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)
      39       6     -1.44123      2.71570
      39       7      1.68783      1.44328
      39       8     -1.48778    -0.575056
      39       9     -1.14276      1.35177
      39      10     0.871924    -0.493479
      39      11     -1.66645    -0.781829
      39      12      1.03616     0.490944
      39      13     0.149457     -2.13660
      39      14     -1.95401     0.570363
      39      15      1.21171     0.660682
      39      16     -1.89276    -0.573724
      39      17    -0.454865      2.43383
      39      18     0.598528     -1.43039
      39      19    -0.807915   -0.0904785
      39      20      2.89961      2.33738
      39      21     0.638935    -0.839840
      39      22     -2.17891     0.954733
      39      23      1.59864     -1.32151
      39      24     -1.08682     -1.76362
      39      25      3.50908 -0.000105389
      39      26      1.00825    -0.478770
      39      27     -1.41918      3.21609
      39      28     0.129377     -2.90802
      39      29    -0.594174     -2.06382
      39      30      3.30514     -1.35656
      39      31     0.470749     -1.45050
      39      32     -2.66102      2.34555
      39      33     -3.27558     -3.97243
      39      34     -1.03918    -0.431205
      39      35      1.91163    -0.573511
      39      36     -4.05443      4.49817
      39      37    -0.561685     -3.54586
      39      38     0.894532      1.39616
      39      39     -1.62046     0.722037
      40       0      1.19068      0.00000
      40       1     -1.58995      1.17746
